ID,FULLNAME,TEAM,FIRST YR,SEASON,EXP,SLUMP,AGE,GAMES,GSTART,CARRIES,YARDS,TD,LONG,FUMBLES,YPC,YPG,APG,TARGETS,RECS,REC YDS,YPR,REC TDS,REC LONG,REC PG,REC YPG,CATCH_PERCENT,YSCRIM,TOTAL TD,OLINE RANK
1,Ameer Abdullah,DET,2015,2016,2,,23,2,2,18,101,0,24,0,5.6,50.5,9,5,5,57,11.4,1,18,2.5,28.5,1,158,1,31
2,David Johnson,ARI,2015,2016,2,,25,16,16,293,1239,16,58,5,4.2,77.4,18.3,120,80,879,11,4,58,5,54.9,0.67,2118,20,7
3,Duke Johnson,CLE,2015,2016,2,,23,16,1,73,358,1,22,2,4.9,22.4,4.6,74,53,514,9.7,0,32,3.3,32.1,0.72,872,1,28
4,Javorius Allen,BAL,2015,2016,2,,25,8,0,9,34,0,7,0,3.8,4.3,1.1,4,3,15,5,0,8,0.4,1.9,0.75,49,0,20
5,Jeremy Langford,CHI,2015,2016,2,,25,12,3,62,200,4,23,2,3.2,16.7,5.2,27,19,142,7.5,0,19,1.6,11.8,0.7,342,4,8
6,Matt Jones,WAS,2015,2016,2,,23,7,7,99,460,3,57,3,4.6,65.7,14.1,8,8,73,9.1,0,16,1.1,10.4,1,533,3,6
7,Melvin Gordon,SD,2015,2016,2,,23,13,11,254,997,10,48,2,3.9,76.7,19.5,57,41,419,10.2,2,35,3.2,32.2,0.72,1416,12,23
8,T.J. Yeldon,JAC,2015,2016,2,,23,15,13,130,465,1,16,2,3.6,31,8.7,68,50,312,6.2,1,17,3.3,20.8,0.74,777,2,27
9,Thomas Rawls,SEA,2015,2016,2,,23,9,7,109,349,3,45,0,3.2,38.8,12.1,17,13,96,7.4,0,20,1.4,10.7,0.77,445,3,26
10,Todd Gurley,LAR,2015,2016,2,,22,16,16,278,885,6,24,2,3.2,55.3,17.4,58,43,327,7.6,0,33,2.7,20.4,0.74,1212,6,29
11,Ameer Abdullah,DET,2015,2015,1,,22,16,9,143,597,2,36,5,4.2,37.3,8.9,38,25,183,7.3,1,36,1.6,11.4,0.66,780,3,22
12,David Johnson,ARI,2015,2015,1,,24,16,5,125,581,8,47,4,4.6,36.3,7.8,57,36,457,12.7,4,55,2.3,28.6,0.63,1038,12,3
13,Duke Johnson,CLE,2015,2015,1,,22,16,7,104,379,0,39,1,3.6,23.7,6.5,74,61,534,8.8,2,52,3.8,33.4,0.82,913,2,29
14,Javorius Allen,BAL,2015,2015,1,,24,16,6,137,514,1,44,2,3.8,32.1,8.6,62,45,353,7.8,2,41,2.8,22.1,0.73,867,3,14
15,Jeremy Langford,CHI,2015,2015,1,,24,16,2,148,537,6,23,0,3.6,33.6,9.3,42,22,279,12.7,1,83,1.4,17.4,0.52,816,7,7
16,Matt Jones,WAS,2015,2015,1,,22,13,0,144,490,3,39,5,3.4,37.7,11.1,25,19,304,16,1,78,1.5,23.4,0.76,794,4,21
17,Melvin Gordon,SD,2015,2015,1,,22,14,13,184,641,0,27,6,3.5,45.8,13.1,37,33,192,5.8,0,18,2.4,13.7,0.89,833,0,31
18,T.J. Yeldon,JAC,2015,2015,1,,22,12,12,182,740,2,45,0,4.1,61.7,15.2,46,36,279,7.8,1,67,3,23.3,0.78,1019,3,16
19,Thomas Rawls,SEA,2015,2015,1,,22,13,7,147,830,4,69,1,5.6,63.8,11.3,11,9,76,8.4,1,31,0.7,5.8,0.82,906,5,4
20,Todd Gurley,STL,2015,2015,1,,21,13,12,229,1106,10,71,3,4.8,85.1,17.6,26,21,188,9,0,31,1.6,14.5,0.81,1294,10,24
21,Bishop Sankey,TEN,2014,2015,2,,23,13,3,47,193,1,16,2,4.1,14.8,3.6,22,14,139,9.9,1,30,1.1,10.7,0.64,332,2,20
22,Jeremy Hill,CIN,2014,2015,2,,23,16,15,223,794,11,38,3,3.6,49.6,13.9,19,15,79,5.3,1,14,0.9,4.9,0.79,873,12,1
23,Alfred Blue,HOU,2014,2015,2,,24,15,9,183,698,2,41,2,3.8,46.5,12.2,16,15,109,7.3,1,21,1,7.3,0.94,807,3,18
24,Isaiah Crowell,CLE,2014,2015,2,,22,16,9,185,706,4,54,0,3.8,44.1,11.6,22,19,182,9.6,1,53,1.2,11.4,0.86,888,5,29
25,Tre Mason,STL,2014,2015,2,,22,13,3,75,207,1,15,3,2.8,15.9,5.8,25,18,88,4.9,0,16,1.4,6.8,0.72,295,1,24
26,Andre Williams,NYG,2014,2015,2,,23,16,0,88,257,1,35,0,2.9,16.1,5.5,3,1,7,7,0,7,0.1,0.4,0.33,264,1,11
27,Terrance West,CLE,2014,2015,2,,24,8,0,62,231,0,17,2,3.7,28.9,7.8,5,4,21,5.3,0,8,0.5,2.6,0.8,252,0,29
28,Branden Oliver,SD,2014,2015,2,,24,8,1,31,108,0,15,0,3.5,13.5,3.9,15,13,112,8.6,0,17,1.6,14,0.87,220,0,31
29,Jerick McKinnon,MIN,2014,2015,2,,23,16,0,52,271,2,68,0,5.2,16.9,3.3,29,21,173,8.2,1,30,1.3,10.8,0.72,444,3,10
30,Bishop Sankey,TEN,2014,2014,1,,22,16,9,152,569,2,22,2,3.7,35.6,9.5,23,18,133,7.4,0,18,1.1,8.3,0.78,702,2,17
31,Jeremy Hill,CIN,2014,2014,1,,22,16,8,222,1124,9,85,5,5.1,70.3,13.9,32,27,215,8,0,38,1.7,13.4,0.84,1339,9,11
32,Alfred Blue,HOU,2014,2014,1,,23,16,3,169,528,2,46,0,3.1,33,10.6,18,15,113,7.5,1,22,0.9,7.1,0.83,641,3,23
33,Isaiah Crowell,CLE,2014,2014,1,,21,16,4,148,607,8,35,3,4.1,37.9,9.3,14,9,87,9.7,0,19,0.6,5.4,0.64,694,8,25
